#  Energy [eV]     Im_eps_xx
 
     10.65326     0.59854404E+00
     10.66687     0.59589682E+00
     10.68047     0.59338207E+00
     10.69408     0.59129436E+00
     10.70768     0.58917333E+00
     10.72129     0.58678558E+00
     10.73490     0.58680661E+00
     10.74850     0.58136588E+00
     10.76211     0.57820003E+00
     10.77571     0.57488235E+00
     10.78932     0.57221643E+00
     10.80292     0.57059172E+00
     10.81653     0.56911876E+00
     10.83014     0.56794596E+00
     10.84374     0.56662859E+00
     10.85735     0.56458213E+00
     10.87095     0.56190762E+00
     10.88456     0.56015044E+00
     10.89816     0.55729016E+00
     10.91177     0.55372311E+00
     10.92538     0.55156831E+00
     10.93898     0.55003480E+00
     10.95259     0.54973208E+00
     10.96619     0.54515769E+00
     10.97980     0.54191454E+00
     10.99340     0.53925066E+00
     11.00701     0.53690924E+00
     11.02062     0.53486093E+00
     11.03422     0.53305155E+00
     11.04783     0.53173280E+00
     11.06143     0.53231204E+00
     11.07504     0.53324201E+00
     11.08864     0.53437913E+00
     11.10225     0.53561917E+00
     11.11585     0.53712492E+00
     11.12946     0.53840520E+00
     11.14307     0.53735580E+00
     11.15667     0.53651692E+00
     11.17028     0.53582651E+00
     11.18388     0.53475010E+00
     11.19749     0.53267205E+00
     11.21109     0.53077827E+00
     11.22470     0.52877871E+00
     11.23831     0.52627808E+00
     11.25191     0.52317510E+00
     11.26552     0.51948240E+00
     11.27912     0.51517567E+00
     11.29273     0.51193163E+00
     11.30633     0.50943102E+00
     11.31994     0.50645472E+00
     11.33355     0.50334972E+00
     11.34715     0.50094475E+00
     11.36076     0.49934221E+00
     11.37436     0.49832701E+00
     11.38797     0.50369880E+00
     11.40157     0.49841433E+00
     11.41518     0.49857412E+00
     11.42879     0.50008502E+00
     11.44239     0.50037925E+00
     11.45600     0.49761741E+00
     11.46960     0.49415440E+00
     11.48321     0.49061492E+00
     11.49681     0.48899636E+00
     11.51042     0.48715310E+00
     11.52403     0.48527802E+00
     11.53763     0.48782359E+00
     11.55124     0.50605822E+00
     11.56484     0.49299418E+00
     11.57845     0.48340239E+00
     11.59205     0.47942588E+00
     11.60566     0.47508823E+00
     11.61927     0.47228691E+00
     11.63287     0.47072300E+00
     11.64648     0.47142812E+00
     11.66008     0.47008844E+00
     11.67369     0.46819345E+00
     11.68729     0.46180265E+00
     11.70090     0.46036177E+00
     11.71451     0.45789404E+00
     11.72811     0.45228399E+00
     11.74172     0.44858606E+00
     11.75532     0.44513172E+00
     11.76893     0.44166241E+00
     11.78253     0.43826538E+00
     11.79614     0.43493061E+00
     11.80975     0.43142531E+00
     11.82335     0.42761648E+00
     11.83696     0.42991566E+00
     11.85056     0.42094089E+00
     11.86417     0.41626735E+00
     11.87777     0.41267318E+00
     11.89138     0.40793913E+00
     11.90499     0.40241520E+00
     11.91859     0.39747656E+00
     11.93220     0.39335804E+00
     11.94580     0.38959131E+00
     11.95941     0.38554753E+00
     11.97301     0.38174068E+00
     11.98662     0.37851272E+00
     12.00023     0.37554284E+00
     12.01383     0.37275712E+00
     12.02744     0.36990327E+00
     12.04104     0.36731809E+00
     12.05465     0.36486458E+00
     12.06825     0.36262639E+00
     12.08186     0.36038654E+00
     12.09547     0.35909143E+00
     12.10907     0.35721572E+00
     12.12268     0.35943455E+00
     12.13628     0.35730825E+00
     12.14989     0.35581979E+00
     12.16349     0.35381455E+00
     12.17710     0.35169095E+00
     12.19071     0.35025938E+00
     12.20431     0.35354416E+00
     12.21792     0.35687155E+00
     12.23152     0.35683512E+00
     12.24513     0.35450391E+00
     12.25873     0.35068627E+00
     12.27234     0.34772093E+00
     12.28594     0.34529825E+00
     12.29955     0.34293303E+00
     12.31316     0.34298990E+00
     12.32676     0.34152764E+00
     12.34037     0.34111581E+00
     12.35397     0.33719842E+00
     12.36758     0.33442059E+00
     12.38118     0.33059391E+00
     12.39479     0.32643792E+00
     12.40840     0.32325366E+00
